name,wgms_id,rgi_id,cenlon,cenlat,rgi_reg_name,imageid,targetmonth,imagedate,cloudcover,cloudpct_roi,snowcoverarea_km2_gee,snowcoverarea_error_km2,totalarea_km2_gee,totalarea_error_km2,aar_gee,snowline_m_gee,snowline_error_m,bimodalok,rejectionreason,classbalance,peakbalance
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC09_L2SP_152033_20220929_20230327_02_T1,9,9/29/22,0.35,2.337171942,9.251250598,0.647587542,20.35990114,0.610797034,0.454385831,4228.037662,42.28037662,1,ok,0.463259334,0.983247841
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152033_20210918_20210925_02_T1,9,9/18/21,0.41,2.238425635,7.593591382,0.531551397,20.56225665,0.6168677,0.369297568,4268.057806,42.68057806,1,ok,0.371871322,0.780192754
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152033_20230924_20231002_02_T1,9,9/24/23,1.22,1.683922502,19.82711333,1.387897933,22.05745646,0.661723694,0.898884845,3931.929801,39.31929801,0,secondary_peak_too_small,0.099554033,0.069950722
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152033_20140915_20200910_02_T1,9,9/15/14,11.68,12.17554785,6.889635776,0.482274504,19.25267099,0.57758013,0.357853504,4244.042573,42.44042573,1,ok,0.362149659,0.758320546
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LT05_L2SP_152032_19940924_20200912_02_T1,9,9/24/94,5,3.846217677,20.24802977,1.417362084,22.51682634,0.67550479,0.899239949,3907.871837,39.07871837,0,secondary_peak_too_small,0.097781685,0.082572578
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152032_20130912_20200912_02_T1,9,9/12/13,1.54,4.168361472,11.18315599,0.782820919,21.04835831,0.631450749,0.531307754,4195.995222,41.95995222,1,ok,0.465806472,0.768716578
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152033_20180910_20200830_02_T1,9,9/10/18,4.34,12.30928158,8.80720469,0.616504328,19.46012525,0.583803757,0.452576979,4236.061909,42.36061909,1,ok,0.455216363,0.734824281
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152032_20150918_20200908_02_T1,9,9/18/15,13.7,5.520529576,18.04268472,1.262987931,21.85537407,0.655661222,0.825549115,4020.096062,40.20096062,1,ok,0.171057413,0.111130621
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LT05_L2SP_152033_19880822_20200917_02_T1,9,8/22/88,13,2.243329004,15.86192716,1.110334901,21.90276866,0.65708306,0.724197356,4091.950453,40.91950453,1,ok,0.27411777,0.596118094
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152032_20170907_20200903_02_T1,9,9/7/17,1.07,6.842704149,12.03128953,0.842190267,20.94751847,0.628425554,0.574353929,4179.80692,41.7980692,1,ok,0.423305388,0.870556245
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152032_20200915_20200919_02_T1,9,9/15/20,0.79,5.483595892,9.805078974,0.686355528,21.01568971,0.630470691,0.466559942,4228.040157,42.28040157,1,ok,0.469511011,0.792763158
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152033_20190913_20200826_02_T1,9,9/13/19,0.95,1.842157989,19.56739949,1.369717964,22.36030316,0.670809095,0.875095447,3964.228955,39.64228955,1,ok,0.121152005,0.128155593
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LT05_L2SP_152032_19930921_20200913_02_T1,9,9/21/93,1,2.941191558,20.52381394,1.436666976,22.61496687,0.678449006,0.907532346,3900.001912,39.00001912,0,secondary_peak_too_small,0.089921819,0.073444053
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LT05_L2SP_152032_19920817_20200914_02_T1,9,8/17/92,14,8.009464558,17.55702424,1.228991697,22.1393946,0.664181838,0.793021876,4043.998884,40.43998884,1,ok,0.20404351,0.258667102
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LC08_L2SP_152033_20160920_20200906_02_T1,9,9/20/16,0.54,2.082091147,11.58668389,0.811067872,20.96450947,0.628935284,0.552680896,4187.989075,41.87989075,1,ok,0.444238631,0.709359606
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LE07_L2SP_152032_20000916_20200917_02_T1,9,9/16/00,0,0.216593121,12.34911192,0.864437834,21.46696339,0.644008902,0.575261237,4172.335911,41.72335911,1,ok,0.418905117,0.743992657
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LE07_L2SP_152032_20010802_20200917_02_T1,9,8/2/01,1,2.280413561,1.10655579,0.077458905,22.51120416,0.675336125,0.04915578,4491.890504,44.91890504,0,secondary_peak_too_small,0.049165337,0.087351779
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LE07_L2SP_152032_20020922_20200916_02_T1,9,9/22/02,2,3.712604645,13.78877087,0.965213961,21.80812633,0.65424379,0.632276733,4148.067698,41.48067698,1,ok,0.365469023,0.382895141
